Song-Name,Singer/Artists,Genre,Album/Movie,emotion,videoId,channelTitle
Bewafa Beauty,Pawni Pandey,Bollywood,Black Mail,neutral,iwtwWg3jPCw,https://i.ytimg.com/vi/iwtwWg3jPCw/hqdefault.jpg
Birthday Bash,"Alfaaz, Yo Yo Honey Singh",BollywoodDance,Dilliwaali Zaalim Girlfriend,joy,CiyAA_xraSo,https://i.ytimg.com/vi/CiyAA_xraSo/hqdefault.jpg
Jumme Ki Raat,"Mika Singh, Palak Muchhal",BollywoodDance,Kick,joy,dv_Qjzca56k,https://i.ytimg.com/vi/dv_Qjzca56k/hqdefault.jpg
Jab Koi Baat Bigad Jaye,"Kumar Sanu, Sadhna Sargam",BollywoodRomantic,Jurm,love,rFU28HBP7B0,https://i.ytimg.com/vi/rFU28HBP7B0/hqdefault.jpg
Tera Hone Laga Hoon,"Alisha Chinai, Atif Aslam",BollywoodRomantic,Ajab Prem Ki Ghazab Kahani,love,rTuxUAuJRyY,https://i.ytimg.com/vi/rTuxUAuJRyY/hqdefault.jpg
Sheila Ki Jawani,"Sunidhi Chauhan, Vishal Dadlani",BollywoodDance,Tees Maar Khan,joy,ZTmF2v59CtI,https://i.ytimg.com/vi/ZTmF2v59CtI/hqdefault.jpg
Uff,"Benny Dayal, Harshdeep Kaur",BollywoodDance,Bang bang,joy,K8KAbu45-kE,https://i.ytimg.com/vi/K8KAbu45-kE/hqdefault.jpg
Sunny Sunny,Yo Yo Honey Singh,BollywoodDance,Yaariyan,joy,MXJCnccDLA0,https://i.ytimg.com/vi/MXJCnccDLA0/hqdefault.jpg
Ghagra,"Rehka Bharadwaj, Vishal Dadlani",BollywoodDance,Yeh Jawaani Hai Deewani,joy,caoGNx1LF2Q,https://i.ytimg.com/vi/caoGNx1LF2Q/hqdefault.jpg
Paani Wala Dance,"Arko, Ikka, Shraddha Pandit",BollywoodDance,Kuch Kuch Locha Hai,joy,D_CJ4lJ12Us,https://i.ytimg.com/vi/D_CJ4lJ12Us/hqdefault.jpg
Dola Re Dola,"K.K., Kavita Krishnamurthy, Shreya Ghoshal",BollywoodDance,Devdas,joy,N0PwUqsN1us,https://i.ytimg.com/vi/N0PwUqsN1us/hqdefault.jpg
Jab Tum Chaho,"Darshan Raval, Mohammed Irfan, Palak Muchhal",BollywoodDance,Prem Ratan Dhan Payo,joy,abCXAUnQfYU,https://i.ytimg.com/vi/abCXAUnQfYU/hqdefault.jpg
Tere Bina Zindagi Se Koi Shikwa To Nahin,"Kishore Kumar, Lata Mangeshkar",BollywoodSad,Aandhi,sadness,8-HnmVg0-O8,https://i.ytimg.com/vi/8-HnmVg0-O8/hqdefault.jpg
Mujhe Ek Pal Chain,"Alka Yagnik, Hariharan, Jaswinder Narula",BollywoodDance,Judaai,joy,ob0G1HZPG8Q,https://i.ytimg.com/vi/ob0G1HZPG8Q/hqdefault.jpg
Kuch Iss Tarah,Arnab Dutta,BollywoodSad,1921,sadness,jjk-nmsXYhw,https://i.ytimg.com/vi/jjk-nmsXYhw/hqdefault.jpg
Gazab Ka Hai Din,"Jubin Nautiyal, Prakriti Kakkar",BollywoodRomantic,Dil Juunglee,love,_0CFtvtxoXU,https://i.ytimg.com/vi/_0CFtvtxoXU/hqdefault.jpg
Tu Jaane Na,Atif Aslam,BollywoodRomantic,Ajab Prem Ki Ghazab Kahani,love,P8PWN1OmZOA,https://i.ytimg.com/vi/P8PWN1OmZOA/hqdefault.jpg
Tumne Agar Pyar Se – Female,Alka Yagnik,BollywoodDance,Raja,joy,#NAME?,https://i.ytimg.com/vi/-J5iM0IOEsI/hqdefault.jpg
Stay A Little Longer,Anushka Shahaney,BollywoodSad,Half Girlfriend,sadness,tjXHcyQhzqI,https://i.ytimg.com/vi/tjXHcyQhzqI/hqdefault.jpg
Badtameez Dil,Benny Dayal,BollywoodDance,Yeh Jawaani Hai Deewani,joy,II2EO3Nw4m0,https://i.ytimg.com/vi/II2EO3Nw4m0/hqdefault.jpg
Chand Sifarish,"Kailash Kher, Shaan",BollywoodRomantic,Fanaa,love,zWEOx7TSM6I,https://i.ytimg.com/vi/zWEOx7TSM6I/hqdefault.jpg
Is Pyar Se Meri Taraf Na Dekho,"Alka Yagnik, Kumar Sanu",BollywoodRomantic,Chamatkar,love,DLYp9GWowYQ,https://i.ytimg.com/vi/DLYp9GWowYQ/hqdefault.jpg
Aaj Unse Milna Hai,Shaan,BollywoodDanceRomantic,Prem Ratan Dhan Payo,love,PlA-vdbx6dY,https://i.ytimg.com/vi/PlA-vdbx6dY/hqdefault.jpg
Tere Bin Nahi Laage,Uzair Jaswal,BollywoodRomanticSad,Ek Paheli Leela,sadness,ODp3B_pQD48,https://i.ytimg.com/vi/ODp3B_pQD48/hqdefault.jpg
Yaar Na Miley,"Jasmine Sandlas, Yo Yo Honey Singh",BollywoodDance,Kick,joy,iMmKHLFZn10,https://i.ytimg.com/vi/iMmKHLFZn10/hqdefault.jpg
